COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE,SURFACE LONGITUDE,SURFACE LATITUDE
Unknown,Cattaraugus,Allegany,31009700000000,KC 494,UM,NL,-78.52338,42.010391
Unknown,Wyoming,Middlebury,31121000000000,Matthews C B and J S,UL,GD,-78.09917,42.81691
Unknown,Allegany,Bolivar,31003700000000,Szathmary D 50,UN,NL,-78.07817,42.071365
Unknown,Allegany,Bolivar,31003700000000,DF 53,UN,NL,-78.12594,42.032677
Unknown,Steuben,Campbell,31101600000000,Watson Homestead 1,UL,NL,-77.12807,42.22615
Unknown,Allegany,Alma,31003700000000,Root F 182,UM,NL,-78.06023,42.06419
Updegraff C.H. & Nichols W.M.,Chemung,Elmira City,31015000000000,Barcus 2,UM,DH,-76.78544000000001,42.091029999999996
Unknown,Allegany,Alma,31003700000000,Root F 214,UM,NL,-78.06142,42.061352
Appalachian Development,Steuben,Bath,31101000000000,State of NY 10-A 1,UM,DW,-77.20042,42.31804
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Young 0-8,UL,OD,-77.71101,42.09162
Case Oil Corp.,Allegany,Alma,31003600000000,Adrian 39,UL,OD,-78.05954,42.076788
Unknown,Allegany,Bolivar,31003700000000,Dunn J 7,UM,NL,-78.1613,42.059329999999996
"BDH Oil, Inc.",Cattaraugus,Allegany,31009100000000,Nichols Run Hw-221,UN,IW,-78.57831999999999,42.011559999999996
Unknown,Allegany,Bolivar,31003700000000,Dunn J 20,UM,NL,-78.16230999999999,42.060032
James V. Joyce/DBA Pipeline Co.,Allegany,Andover,31003600000000,Livermore 4,UL,GD,-77.74448000000001,42.141040000000004
Unknown,Allegany,Alma,31003700000000,Fisher J 12,UN,NL,-78.06026,42.065247
Meridian Gas Co.,Onondaga,Lysander,31067000000000,Root,UM,DH,-76.29808,43.174690000000005
Unknown,Allegany,Wirt,31003700000000,Schamberger J 6,UM,NL,-78.18453000000001,42.087371999999995
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Young P-17,UL,IW,-77.71539,42.093140000000005
Unknown,Cattaraugus,Allegany,31009700000000,KC 495,UM,NL,-78.52342,42.014755
Unknown,Allegany,Bolivar,31003700000000,Dunn J 76,UM,NL,-78.15907,42.060097
Unknown,Cattaraugus,Allegany,31009700000000,KC 760,UN,NL,-78.53262,42.012253
Unknown,Cattaraugus,Allegany,31009700000000,KC 972,UN,NL,-78.54616,42.003887
"BDH Oil, Inc.",Cattaraugus,Allegany,31009700000000,Nichols Run Gw-8,UL,IW,-78.56909,42.02044
Unknown,Chautauqua,Pomfret,31013700000000,Fitzgerald 1,UM,NL,-79.3252,42.448209999999996
Unknown,Allegany,Bolivar,31003700000000,Dunn P 112,UM,NL,-78.15736,42.057987
"Engle, J.D.",Schuyler,Orange,31097000000000,Engle 1,UM,DW,-77.08821,42.33856
NYS Natural Gas Corp.,Ontario,Phelps,31069000000000,Kelly H 0,UM,DH,-76.9797,42.9203
Murphy-Roberts,Seneca,Waterloo,31099000000000,Unger 1,UM,DW,-76.88656,42.928121999999995
"BDH Oil, Inc.",Cattaraugus,Allegany,31009200000000,Mallory Ro-Ck 8,UL,OD,-78.56251,42.02028
Unknown,Allegany,Genesee,31003700000000,PPP 26,UL,NL,-78.21554,42.084053000000004
Unknown,Allegany,Wirt,31003700000000,Strawser B 3,UN,NL,-78.14505,42.095348
Unknown,Cattaraugus,Allegany,31009700000000,KC 552,UM,NL,-78.52519000000001,42.010048
Unknown,Cattaraugus,Allegany,31009700000000,KC 751,UN,NL,-78.53229,42.008957
Unknown,Allegany,Bolivar,31003700000000,Arbogast J 112,UN,NL,-78.15193000000001,42.066615999999996
"Karim, Raja Abdul",Cayuga,Cato,31011100000000,Karim 1,UL,GE,-76.56169,43.108847999999995
Unknown,Allegany,Bolivar,31003700000000,Szathmary D 64,UN,NL,-78.08073,42.071415
Unknown,Allegany,Bolivar,31003700000000,Dunn P 16,UN,NL,-78.1526,42.055965
Unknown,Cattaraugus,Allegany,31009700000000,KC 164,UN,NL,-78.49916999999999,42.013268
Reservation Gas,Chautauqua,Hanover,31013000000000,Depasquale Phillip 1,UN,GD,-79.11206999999999,42.520959999999995
"Stengel, J.C.",Allegany,Amity,31003000000000,Hills Estate 1,UN,OD,-78.07132,42.19403
"BDH Oil, Inc.",Cattaraugus,Allegany,31009700000000,Nichols Run Fo-8,UL,OD,-78.5524,42.014340000000004
Unknown,Allegany,Wirt,31003700000000,Reiman L 53,UN,NL,-78.14927,42.095154
Unknown,Cattaraugus,Allegany,31009700000000,KC 64,UN,NL,-78.48865,42.021167999999996
Unknown,Allegany,Wirt,31003700000000,Crockett D 36,UN,NL,-78.17303000000001,42.087765000000005
Unknown,Allegany,Alma,31003700000000,Balcerak G 91,UN,NL,-78.06444,42.06686
Unknown,Orleans,Murray,31073100000000,T-2,UM,SG,-78.04290999999999,43.20661
Unknown,Allegany,Wirt,31003700000000,Reiman L 104,UN,NL,-78.15273,42.093697
Unknown,Allegany,Alma,31003600000000,Point Oil U3,UL,OD,-78.04796,42.017016999999996
Unknown,Cattaraugus,Allegany,31009700000000,KC 320,UL,NL,-78.51593000000001,42.01675
"Fralick, C.W. & Assoc.",Steuben,Hartsville,31101000000000,Flint 3,UM,DW,-77.68024,42.25343
Pulaski Gas & Oil,Oswego,Richland,31075000000000,Baird C K 0,UM,GD,-76.15612,43.54678
Meridian Gas Co.,Onondaga,Lysander,31067000000000,Karrington J 1,UM,GD,-76.32285,43.18045
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,McKinley P-1,UL,IW,-77.69965,42.09384
Pennzoil Products Co.,Allegany,Bolivar,31003700000000,Ballard 68,UL,IW,-78.18642,42.08594
Sargent & Greenleaf,Monroe,Irondequoit,31055000000000,Fee 0,UL,DW,-77.60821,43.18758
NYS Natural Gas Corp.,Ontario,Phelps,31069000000000,Patrick Albert 3,UM,DH,-76.96606,42.91343
NY Gas & Elec.,Erie,Lancaster,31029000000000,Barker 5,UN,GD,-78.59616,42.9049
Unknown,Allegany,Wirt,31003700000000,Jakima S 46,UN,NL,-78.14501,42.090092
Unknown,Allegany,Bolivar,31003700000000,OR 35,UM,NL,-78.09274,42.066643
"Tjhung, Frank T.",Allegany,Wellsville,31003700000000,GPS 1163,UL,OD,-77.84979,42.1026
Unknown,Oswego,Volney,31075000000000,Baldwin 2,UN,GD,-76.33166,43.358090000000004
Unknown,Allegany,Bolivar,31003600000000,Phillips Farm 39,UL,OD,-78.11305,42.08463
Alden Batavia Natural Gas Co.,Genesee,Pavilion,31037000000000,Phillips,UM,GD,-78.06084,42.89519
Unknown,Allegany,Alma,31003700000000,Root F 99,UM,NL,-78.05689,42.060349
Unknown,Allegany,Alma,31003700000000,Root F 301,UL,NL,-78.06147,42.06456
Oklahoma Fuel & Energy Co.,Ontario,Seneca,31069000000000,Fordon Richard 1,UL,DW,-77.03486,42.837140000000005
"Duchscherer, William J.",Ontario,Farmington,31069000000000,Crowley 1,UL,GW,-77.29002,42.991279999999996
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Cloverleaf 2,UL,NL,-77.6937,42.09028
Unknown,Allegany,Genesee,31003600000000,Childs U14,UL,NL,-78.22126,42.07617
Pittsburgh Gas & Oil,Genesee,Pavilion,31037000000000,Hutchinson 1,UM,GD,-77.99432,42.894040000000004
Unknown,Allegany,Alma,31003700000000,Root F 3,UN,NL,-78.05014,42.059532
Unknown,Cattaraugus,Allegany,31009700000000,KC 272,UN,NL,-78.51324,42.016354
Unknown,Cattaraugus,Perrysburg,31009000000000,Blanding W A 1,UM,GD,-79.04559,42.48603
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Keenan 343,UL,NL,-77.69707,42.08778
Test Oil Co.,Cattaraugus,Red House,31009100000000,Allegany State Park 59,UN,OD,-78.72685,42.0279
Unknown,Cattaraugus,Allegany,31009700000000,KC 592,UN,NL,-78.52651,42.004448
Unknown,Allegany,Bolivar,31003700000000,Dunn J 32,UM,NL,-78.16031,42.062778
Unknown,Allegany,Bolivar,31003700000000,Szathmary D 35,UN,NL,-78.07635,42.074287
"Republic Light, Heat & Power",Chautauqua,Sheridan,31013000000000,Schultz Henry,UN,GD,-79.22266,42.52344
"BDH Oil, Inc.",Cattaraugus,Allegany,31009100000000,Nichols Run Ho-201,UL,OD,-78.57897,42.02097
Unknown,Allegany,Alma,31003700000000,Root K 63,UM,NL,-78.08129,42.056228999999995
"Lamphier, William",Steuben,Lindley,31101000000000,Hill 1,UM,DW,-77.18978,42.08395
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Austin 275,UL,NL,-77.70612,42.0932
Unknown,Cattaraugus,Allegany,31009700000000,KC 247,UN,NL,-78.51109,42.014709
Moore Producing Co.,Allegany,Bolivar,31003700000000,Curtis Farm 9A,UL,IW,-78.18162,42.07314
C.G.Pipe and Oil Co.,Allegany,Genesee,31003600000000,Camoil(Peary) U5,UL,OD,-78.20719,42.069936
Case Oil Corp.,Allegany,Bolivar,31003600000000,Homestead 1324,UL,IW,-78.09843000000001,42.06905
Unknown,Cattaraugus,Allegany,31009600000000,McGuire 2,UL,OD,-78.52781,42.042014
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Austin 283,UL,NL,-77.7041,42.092290000000006
Unknown,Cattaraugus,Perrysburg,31009000000000,Newcomb D L 2,UM,NL,-79.04559,42.45798
Unknown,Allegany,Alma,31003700000000,Allentown 2,UM,IW,-78.06796,42.08126
Unknown,Allegany,Bolivar,31003700000000,Arbogast J 136,UN,NL,-78.14771999999999,42.068821
Unknown,Cattaraugus,Allegany,31009700000000,KC 511,UN,NL,-78.52393000000001,42.005447
Unknown,Cattaraugus,Allegany,31009700000000,KC 513,UL,NL,-78.52450999999999,42.012679999999996
Unknown,Allegany,Wirt,31003700000000,Webb E 15,UM,NL,-78.14649,42.097565
NYS Natural Gas Corp.,Seneca,Waterloo,31099000000000,Parish,UL,GD,-76.96218,42.915523
Unknown,Steuben,Erwin,31101000000000,Pock 1,UM,DW,-77.08424000000001,42.09235
Unknown,Allegany,Bolivar,31003700000000,Dunn J 2,UM,NL,-78.1611,42.055359
Newfield Gas & Oil,Livingston,North Dansville,31051000000000,Kridler 4,UM,GD,-77.71543,42.55775
"Tjhung, Frank T.",Allegany,Wellsville,31003700000000,GPS 1164,UL,OD,-77.85128,42.102540000000005
Unknown,Allegany,Bolivar,31003700000000,OR 4,UL,NL,-78.08894000000001,42.064027
Unknown,Cattaraugus,Allegany,31009700000000,KC 504,UM,NL,-78.5238,42.013611
Unknown,Allegany,Genesee,31003700000000,PPP 8,UN,NL,-78.21413000000001,42.079308000000005
Unknown,Niagara,Niagara Falls,31063100000000,Pierce & Stevens 1,UN,GD,-79.00816,43.080566999999995
Unknown,Allegany,Alma,31003700000000,Fisher J 17,UN,NL,-78.06062,42.065838
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,McKinley U1,UL,NL,-77.70714,42.09876
"Republic Light, Heat & Power",Genesee,Pavilion,31037000000000,Armstrong 1,UM,GD,-78.07014000000001,42.891490000000005
"Boyce, et al",Cayuga,Conquest,31011000000000,Brooks 1,UM,DW,-76.60982,43.1334
Unknown,Allegany,Alma,31003700000000,Root F 17,UN,NL,-78.05136999999999,42.060314
Unknown,Allegany,Bolivar,31003700000000,Szathmary D 36,UN,NL,-78.07658,42.072445
Unknown,Broome,Barker,31007000000000,Roger 1,UN,DW,-75.877,42.29185
Unknown,Allegany,Scio,31003600000000,M8,UL,IW,-78.02508,42.09475
NYS Natural Gas Corp.,Schuyler,Orange,31097000000000,Button 1,UM,DW,-77.06838,42.29875
Unknown,Allegany,Bolivar,31003700000000,OR 17,UL,NL,-78.09144,42.0652
Unknown,Allegany,Alma,31003600000000,SB-09,UL,OD,-77.98045,42.039957
Unknown,Allegany,Bolivar,31003700000000,PFG 72,UM,NL,-78.13438000000001,42.074184
Unknown,Allegany,Bolivar,31003700000000,Root K 31,UM,NL,-78.07681,42.059222999999996
Wood Oil Co.,Cattaraugus,Olean,31009600000000,Weston U-06,UL,NL,-78.42076999999999,42.008639
Unknown,Allegany,Bolivar,31003700000000,DF 12,UL,NL,-78.11755,42.043547
Unknown,Cattaraugus,Allegany,31009600000000,Kurty U32,UL,OD,-78.50594,42.02592
"BDH Oil, Inc.",Cattaraugus,Allegany,31009700000000,Nichols Run Hw-6,UL,IW,-78.57247,42.02041
Unknown,Cattaraugus,Allegany,31009700000000,KC 911,UN,NL,-78.54163,42.008705
Unknown,Allegany,Bolivar,31003700000000,Dunn P 63,UM,NL,-78.15491999999999,42.057575
Moose Oil Co.,Allegany,Bolivar,31003600000000,Tullar 035,UL,OD,-78.10927,42.028453999999996
Penn York Natural Gas,Steuben,West Union,31101000000000,Joyce 1,UM,DW,-77.64605,42.03073
Empire Portland Cement,Onondaga,Van Buren,31067000000000,Empire Port Cement Co 2,UN,GD,-76.34723000000001,43.08849
Appalachian Development,Chemung,Veteran,31015000000000,Earle,UM,DW,-76.82471,42.22785
Unknown,Allegany,Alma,31003700000000,Balcerak G 69,UN,NL,-78.06226,42.065459999999995
Meridian Gas Co.,Onondaga,Elbridge,31067000000000,Ashby H 2,UN,DW,-76.4594,43.07298
Unknown,Cattaraugus,Allegany,31009600000000,Stephan U7,UL,OD,-78.49548,42.039083000000005
Hickory Oil,Allegany,Genesee,31003600000000,Hickory U9,UL,OD,-78.20514,42.067758000000005
Unknown,Cattaraugus,Allegany,31009700000000,KC 565,UN,NL,-78.5257,42.005997
NY Gas & Elec.,Erie,Lancaster,31029000000000,McLaren,UN,GD,-78.62084,42.90903
Unknown,Cattaraugus,Allegany,31009700000000,KC 5,UM,NL,-78.47975,42.021355
Hammondsport Natural Gas,Steuben,Rathbone,31101000000000,Sovocool 2,UM,GD,-77.34079,42.168040000000005
Reservation Gas,Chautauqua,Hanover,31013000000000,Navaro William 1,UN,GD,-79.11782,42.50391
Unknown,Cattaraugus,Allegany,31009700000000,KC 52,UN,NL,-78.48758000000001,42.023266
"Alvord, E.B.",Cayuga,Ledyard,31011000000000,Aurora 1,UM,SG,-76.70437,42.75351
Unknown,Allegany,Bolivar,31003700000000,PYR 87,UM,NL,-78.1788,42.089690999999995
Unknown,Cattaraugus,Allegany,31009600000000,Wiedman U4,UL,OD,-78.47657,42.1167
Unknown,Cattaraugus,Allegany,31009700000000,KC 612,UN,NL,-78.52731,42.006671999999995
Unknown,Steuben,Woodhull,31101600000000,Cavell U1,UL,GD,-77.43269000000001,42.07311
Unknown,Allegany,Bolivar,31003700000000,Dunn P 56,UN,NL,-78.15445,42.058895
