name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,longitude,latitude,easting,northing,runtime
Bally Studios,HARINGEY,www.ballystudios.co.uk,100023166840.0,E09000014,Tottenham Hale,E05000281,Unit 16 Mill Mead Industrial Centre,Mill Mead Road,,-0.0561851132017006,51.59189922901153,534746.9633639512,189905.921207692,04/11/2021
Ritz Rehearsal Studios,WANDSWORTH,,100022639645.0,E09000032,Thamesfield,E05000625,The Courtyard Esmond Street,Wandsworth,,-0.2107070387562315,51.462032084893785,524396.9661793638,175190.92520915315,04/11/2021
Arcola Studio 5,Hackney,https://www.arcolatheatre.com/about/hire/,,,,,24 Ashwin Street,,,-0.0747077578547654,51.54692046625663,533595.5539749785,184870.17355667613,04/11/2021
Gillet Square  Studios,Hackney,,,,,,Unit 10 Gillett Square,,,-0.0765795183356252,51.54872161405923,533460.5130656585,185067.0467570183,04/11/2021
New River Studios,Harringay,https://newriverstudios.com/,,,,,199 Eade Rd,,,-0.0879718452649477,51.5748585639844,532594.7410273649,187952.8011958513,04/11/2021
Pirate Studios - Croydon DJ Studios,Croydon,http://piratestudios.co.uk,,,,,"Unit 8, New South Quarter",Purley Way,,-0.1158040859948953,51.37404931844332,531240.8137181838,165572.50594915292,04/11/2021
Pirate Studios - Earlsfield Rehearsal Studios,,http://piratestudios.co.uk,,,,,17 Lydden Road,,,-0.1907409738665486,51.446948743388354,525825.2927948235,173547.7064145474,04/11/2021
Pirate Studios - Greenwich Rehearsal Studios,,http://piratestudios.co.uk,,,,,22 Bugsby's Way,,,0.0282604600839604,51.49051062344722,540908.6810666837,178790.3754798617,04/11/2021
Pirate Studios - Notting Hill West London Rehearsal Studios,,http://piratestudios.co.uk,,,,,Arches 56-59,Bard Road,White City,-0.2196676399899903,51.512333340955394,523638.4963835977,180769.35306638703,04/11/2021
Crunch Studios,Sutton,http://www.crunchstudios.co.uk/,5870119991.0,E09000029,Carshalton Central,E05000558,Crunch Studio 39b,High Street,Sutton,-0.1596053333572547,51.36594493528475,528214.965265154,164593.9282127004,04/11/2021
Scream Studios,Croydon,www.screamstudios.net,100000000000.0,E09000008,Fairfield,E05011468,20a South End,Croydon,,-0.099298765940515,51.366610279854015,532410.9641209197,164774.92815944133,04/11/2021
Music Studios London,Sutton,www.musicstudioslondon.com,5870054132.0,E09000029,St. Helier,E05000562,43192 Rosehill Court Parade,St. Helier Avenue,Sutton,-0.1893989620273229,51.38563538094647,526086.9658418698,166731.92763004586,04/11/2021
Crown Lane Studio,Merton,www.crownlanestudio.co.uk,48130591.0,E09000024,Merton Park,E05000466,8b Crown Lane,Merton,,-0.1955026185503871,51.401826421149046,525617.9659693935,168521.9271443918,04/11/2021
Antenna Studios,Croydon,www.antennastudios.co.uk,10090383277.0,E09000008,Crystal Palace & Upper Norwood,E05011467,Bowyers Yard Haynes Lane,Croydon,,-0.0832284019934744,51.41806561440195,533379.963858459,170525.92659828765,04/11/2021
Sw19,Merton,http://www.sw-19.net,48071997.0,E09000024,Wimbledon Park,E05000474,62 Weir Road,Merton,,-0.1900374549047989,51.43756037500333,525899.965892782,172504.92606007814,04/11/2021
