ï»¿FSCL_YR,MINC,MINE,DepartmentNumber-NumÃ©ro-de-MinistÃ¨re,DEPT_EN_DESC,OBJ_CD,OBJ_EN_NM,AGRG_PYMT_AMT
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,384.91
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,3094.54
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,46.3
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,1432.59
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,712.3
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,52482.91
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,32.88
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,69.65
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1222,"Data(message/text, & computer)comm.equip",81.66
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1222,"Data(message/text, & computer)comm.equip",9005.14
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1223,Image/video equipment,457.0
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1223,Image/video equipment,179.9
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1224,"Dig.com.equ.int.voice,data or video/imag",98.82
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1225,Telecommunication equipment parts,2064.0
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1225,Telecommunication equipment parts,17.49
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1226,Computer equip.-large/med.mainframe-mini,45000.0
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1227,Computer equip.small-desktop/pers./port.,4215.87
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1227,Computer equip.small-desktop/pers./port.,426240.44
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1228,Computer software,8296.44
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1228,Computer software,680766.39
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1229,Computer equipment parts,568.99
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1229,Computer equipment parts,56464.9
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",1257.0
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",5815.83
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",670.81
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",4807.24
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",6461.9
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",127157.31
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",1394.04
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",907.55
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,4138.94
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,76.44
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,1310.04
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,68.43
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,98035.19
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,39.14
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,3008.15
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1261,Road motor vehicles,147433.0
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1263,Road motor vehicles parts,353.36
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1263,Road motor vehicles parts,6.05
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1263,Road motor vehicles parts,187.06
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1263,Road motor vehicles parts,5.15
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1263,Road motor vehicles parts,5092.65
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1263,Road motor vehicles parts,4.29
2008/2009,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1263,Road motor vehicles parts,9.09
2008/2009,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1211,Special industry machinery,18750.0
2008/2009,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",260.99
2008/2009,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",2988.5
2008/2009,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",1841.45
2008/2009,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",17496.9
